ticker,name,sector,price,adv20,surge_score,readiness,explosiveness,fuel,catalyst,setup_type,ann_vol,max_5d_gain_1y,big_up_days,ret_5d,rvol,dist_52wh,atr_pctile,bb_pctile,nr7,short_pct_float,days_to_cover,float_shares,analyst_score,target_upside,binary_target,low_coverage,extended
KOD,Kodiak Sciences Inc,Healthcare,36.90999984741211,24727478.476257324,81.99534234829285,67.20903945727244,100.0,91.66315255555557,78.33333333333334,squeeze_fuel,1.362757967754159,0.881758302122682,20,0.018768984647185682,0.5617365843199529,0.7715300946840711,0.08,0.63,False,0.2587,16.18,39276627,66.66666666666667,0.7271742146720637,False,False,False
IBRX,"ImmunityBio, Inc.",Healthcare,7.239999771118164,121394379.6227479,77.14451291983445,57.657736864549,93.61095930234875,80.0,83.75,squeeze_fuel,1.0562465843028468,1.5019305922069157,14,0.0027700805412327334,1.1656838497566595,0.5824617532876061,0.39,0.0,True,0.3418,10.37,394035513,75.0,0.795580167261835,False,False,False
GLUE,"Monte Rosa Therapeutics, Inc.",Healthcare,19.670000076293945,15384601.283979416,76.84101362934248,65.2976290010427,87.72499703403733,78.32529427777779,80.13888888888889,fresh_coil,0.9238124332658398,0.6472222181749931,10,0.04572039525618754,0.9985124101537441,0.763290637442267,0.24,0.14,False,0.17989999,18.67,52937338,69.44444444444444,0.6141331915023596,False,False,False
CAPR,"Capricor Therapeutics, Inc.",Healthcare,28.530000686645508,31773261.014051437,76.67528508791754,49.79571155231772,100.0,83.05785811111112,83.75,squeeze_fuel,3.8629978031689647,5.51304341426193,14,-0.01177693601331109,0.6474557236191206,0.7067129413301056,0.52,0.44,False,0.2082,10.11,48549277,75.0,0.7833858666472524,False,False,False
ELVN,"Enliven Therapeutics, Inc.",Healthcare,37.5099983215332,26164669.727458954,74.22794509491894,66.6347847101509,83.3906569649239,62.17189144444444,83.75,fresh_coil,0.8262897817107879,0.7007925638097234,8,-0.09701498568065159,0.6542892082855245,0.7729239494136386,0.45,0.05,False,0.1331,7.12,44417977,75.0,0.852839325777907,False,False,False
DNTH,"Dianthus Therapeutics, Inc.",Healthcare,89.44999694824219,47384439.13063049,73.53675182214924,77.86782165924937,70.89804892000197,71.46591033333334,72.34537824569125,fresh_coil,0.6568307454352659,0.5692363084804324,7,0.03434312530089034,0.8336529255796116,0.9269429735569139,0.4,0.08,True,0.1354,13.51,54596807,77.5,0.2510900370936142,False,False,False
TNGX,"Tango Therapeutics, Inc.",Healthcare,23.100000381469727,66030900.05527496,72.62869900739389,48.03488289520022,87.14465102750245,82.38401966666666,81.04166666666666,squeeze_fuel,0.9107546481188049,0.6377952401137952,9,0.14130437957972175,1.0240423079001175,0.8130939987869773,0.79,0.34,False,0.2228,9.85,69598823,70.83333333333333,0.5077921828927674,False,False,False
ALMS,Alumis Inc.,Healthcare,20.329999923706055,20087837.405366898,72.36543945600582,46.86223322372307,97.5,71.45572244444445,81.71875,fresh_coil,1.2169854904599695,1.5379060273935186,7,-0.0767484331936863,1.2643503067399704,0.6643790741916846,0.34,0.68,False,0.1585,10.79,85873498,71.875,0.9345794465123805,False,False,False
METC,"Ramaco Resources, Inc.",Basic Materials,16.489999771118164,23241511.09936714,69.61119219936215,40.32543402777778,91.98588437593779,87.68092255555555,71.93400201576719,squeeze_fuel,1.0196823984586003,0.6876923487736628,11,0.1846264138461453,0.8526437621832359,0.2852941174529464,0.23,0.47,False,0.4756,7.18,42041697,66.66666666666667,0.32686478494210114,False,False,False
DBI,Designer Brands Inc.,Consumer Cyclical,8.199999809265137,3313289.1734862328,69.24473136008596,70.85311763152863,87.1250621270832,99.02581477777778,35.86206896551724,squeeze_fuel,0.910313897859372,0.8450173422645428,9,0.15492956611377506,0.9634963842332541,0.945852315765889,0.03,0.68,False,0.45720002,10.71,28767667,55.172413793103445,-0.08536583238382645,False,False,False
